lambda_um,n,k
3.1949,1.376,1e-06
3.2,1.376,0.001
3.2051,1.376,0.001
3.2103,1.377,0.001
3.2154,1.376,0.001
3.2206,1.376,0.001
3.2258,1.376,0.001
3.231,1.376,0.001
3.2362,1.376,0.001
3.2415,1.375,1e-06
3.2468,1.375,0.001
3.252,1.375,1e-06
3.2573,1.375,1e-06
3.2626,1.374,0.001
3.268,1.374,0.001
3.2733,1.374,0.001
3.2787,1.373,0.001
3.2841,1.373,0.001
3.2895,1.373,0.001
3.2949,1.372,0.001
3.3003,1.371,0.001
3.3058,1.371,0.001
3.3113,1.37,0.001
3.3167,1.369,0.002
3.3223,1.368,1e-06
3.3278,1.367,0.002
3.3333,1.365,0.003
3.3389,1.363,0.004
3.3445,1.36,0.005
3.3501,1.354,0.008
3.3557,1.35,0.015
3.3613,1.348,0.028
3.367,1.354,0.043
3.3727,1.372,0.053
3.3784,1.394,0.05
3.3841,1.406,0.035
3.3898,1.407,0.019
3.3956,1.402,0.011
3.4014,1.398,0.007
3.4072,1.394,0.005
3.413,1.391,0.004
3.4188,1.389,0.004
3.4247,1.387,0.004
3.4305,1.385,0.005
3.4364,1.386,0.006
3.4423,1.386,0.007
3.4483,1.388,0.006
3.4542,1.388,0.004
3.4602,1.388,0.004
3.4662,1.388,0.003
3.4722,1.386,0.002
3.4783,1.386,0.002
3.4843,1.385,0.001
3.4904,1.385,1e-06
3.4965,1.384,1e-06
3.5026,1.384,0.001
3.5088,1.383,0.001
3.5149,1.383,0.001
3.5211,1.383,0.001
3.5273,1.383,0.001
3.5336,1.383,0.001
3.5398,1.382,1e-06
3.5461,1.382,0.001
3.5524,1.381,0.001
3.5587,1.382,0.001
3.5651,1.382,1e-06
3.5714,1.381,0.001
3.5778,1.382,0.001
3.5842,1.382,0.001
3.5907,1.382,1e-06
3.5971,1.381,1e-06
3.6036,1.381,1e-06
3.6101,1.381,1e-06
3.6166,1.38,1e-06
3.6232,1.38,1e-06
3.6298,1.38,1e-06
3.6364,1.38,1e-06
3.643,1.38,1e-06
3.6496,1.379,1e-06
3.6563,1.379,1e-06
3.663,1.379,1e-06
3.6697,1.379,1e-06
3.6765,1.379,1e-06
3.6832,1.379,1e-06
3.69,1.379,1e-06
3.6969,1.378,1e-06
3.7037,1.378,1e-06
3.7106,1.378,1e-06
3.7175,1.378,1e-06
3.7244,1.378,1e-06
3.7313,1.378,1e-06
3.7383,1.378,1e-06
3.7453,1.378,1e-06
3.7523,1.378,1e-06
3.7594,1.378,1e-06
3.7665,1.377,1e-06
3.7736,1.377,1e-06
3.7807,1.377,1e-06
3.7879,1.377,1e-06
3.7951,1.377,1e-06
3.8023,1.376,1e-06
3.8095,1.376,1e-06
3.8168,1.376,1e-06
3.8241,1.376,1e-06
3.8314,1.376,1e-06
3.8388,1.376,1e-06
